"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"casa-vacanze-tromso-8-00-3-00-m","Casa Vacanze ""Tromsø"" – 8,00 × 3,00 m","<p data-start=""171"" data-end=""450""><strong data-start=""171"" data-end=""199"">Descrizione del prodotto</strong><br data-start=""199"" data-end=""202"">La <strong data-start=""205"" data-end=""228"">casa vacanze Tromsø</strong> (8,00 × 3,00 m) è una soluzione abitativa compatta e moderna, ideale come alloggio, residenza temporanea o casa vacanze.<br data-start=""349"" data-end=""352"">L’unità è realizzata con un design industriale contemporaneo, combinando comfort e funzionalità.</p> <hr data-start=""452"" data-end=""455""> <h3 data-start=""457"" data-end=""484"">Distribuzione interna</h3> <ul data-start=""485"" data-end=""622""> <li data-start=""485"" data-end=""523""> <p data-start=""487"" data-end=""523""><strong data-start=""487"" data-end=""507"">Camera da letto:</strong> 2,30 × 3,00 m</p> </li> <li data-start=""524"" data-end=""541""> <p data-start=""526"" data-end=""541""><strong data-start=""526"" data-end=""539"">Corridoio</strong></p> </li> <li data-start=""542"" data-end=""593""> <p data-start=""544"" data-end=""593""><strong data-start=""544"" data-end=""577"">Soggiorno con cucina a vista:</strong> 3,00 × 4,00 m</p> </li> <li data-start=""594"" data-end=""622""> <p data-start=""596"" data-end=""622""><strong data-start=""596"" data-end=""606"">Bagno:</strong> 1,74 × 1,40 m</p> </li> </ul> <hr data-start=""624"" data-end=""627""> <h3 data-start=""629"" data-end=""662"">Caratteristiche costruttive</h3> <ul data-start=""663"" data-end=""1156""> <li data-start=""663"" data-end=""743""> <p data-start=""665"" data-end=""743"">Struttura a telaio aperto con impianto elettrico a vista (stile industriale)</p> </li> <li data-start=""744"" data-end=""780""> <p data-start=""746"" data-end=""780"">Design esterno antracite/argento</p> </li> <li data-start=""781"" data-end=""899""> <p data-start=""783"" data-end=""800""><strong data-start=""783"" data-end=""798"">Isolamento:</strong></p> <ul data-start=""803"" data-end=""899""> <li data-start=""803"" data-end=""856""> <p data-start=""805"" data-end=""856"">Pareti e pavimento: 100 mm schiuma isolante in PU</p> </li> <li data-start=""859"" data-end=""899""> <p data-start=""861"" data-end=""899"">Tetto: 120 mm schiuma isolante in PU</p> </li> </ul> </li> <li data-start=""900"" data-end=""1156""> <p data-start=""902"" data-end=""925""><strong data-start=""902"" data-end=""923"">Porte e finestre:</strong></p> <ul data-start=""928"" data-end=""1156""> <li data-start=""928"" data-end=""1000""> <p data-start=""930"" data-end=""1000"">Porta d’ingresso 1000 × 2100 mm con doppio vetro termico (antracite)</p> </li> <li data-start=""1003"" data-end=""1078""> <p data-start=""1005"" data-end=""1078"">1 × finestra doppia 1600 × 2000 mm con doppio vetro termico (antracite)</p> </li> <li data-start=""1081"" data-end=""1156""> <p data-start=""1083"" data-end=""1156"">1 × finestra doppia 1200 × 1400 mm con doppio vetro termico (antracite)</p> </li> </ul> </li> </ul> <hr data-start=""1158"" data-end=""1161""> <h3 data-start=""1163"" data-end=""1187"">Impianto elettrico</h3> <ul data-start=""1188"" data-end=""1343""> <li data-start=""1188"" data-end=""1211""> <p data-start=""1190"" data-end=""1211"">18 prese elettriche</p> </li> <li data-start=""1212"" data-end=""1243""> <p data-start=""1214"" data-end=""1243"">5 lampade LED per soggiorno</p> </li> <li data-start=""1244"" data-end=""1262""> <p data-start=""1246"" data-end=""1262"">5 interruttori</p> </li> <li data-start=""1263"" data-end=""1288""> <p data-start=""1265"" data-end=""1288"">1 lampada LED esterna</p> </li> <li data-start=""1289"" data-end=""1343""> <p data-start=""1291"" data-end=""1343"">Quadro elettrico con interruttore differenziale FI</p> </li> </ul> <hr data-start=""1345"" data-end=""1348""> <h3 data-start=""1350"" data-end=""1373"">Dotazioni interne</h3> <ul data-start=""1374"" data-end=""1730""> <li data-start=""1374"" data-end=""1484""> <p data-start=""1376"" data-end=""1484""><strong data-start=""1376"" data-end=""1387"">Cucina:</strong> blocco cucina da 2 m con pensili, piano cottura a 2 fuochi, lavello con rubinetto, frigorifero</p> </li> <li data-start=""1485"" data-end=""1604""> <p data-start=""1487"" data-end=""1604""><strong data-start=""1487"" data-end=""1497"">Bagno:</strong> WC, doccia con miscelatore e parete divisoria, lavabo con mobiletto, boiler con accumulo per acqua calda</p> </li> <li data-start=""1605"" data-end=""1684""> <p data-start=""1607"" data-end=""1684""><strong data-start=""1607"" data-end=""1621"">Pavimento:</strong> pannello in legno con rivestimento in PVC ad alta resistenza</p> </li> <li data-start=""1685"" data-end=""1730""> <p data-start=""1687"" data-end=""1730""><strong data-start=""1687"" data-end=""1705"">Riscaldamento:</strong> 3 convettori elettrici</p> </li> </ul>","LA MIA CASA MOBILE","Casa","casa prefabbricata container","2025-09-12T00:45:12+02:00","Title","Default Title",,,,,,"0",,"deny","manual","3600.00","7000.00","true","true",,"https://cdn.shopify.com/s/files/1/0909/2946/3562/files/4162356884.jpg?v=1757630581",,,"false",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0909/2946/3562/files/4162356884.jpg?v=1757630581",,,,"active"
"casa-vacanze-tromso-8-00-3-00-m",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0909/2946/3562/files/4162363779.jpg?v=1757630582","2",,,,,,,,,,,,,,,,,,,,,,
"casa-vacanze-tromso-8-00-3-00-m",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0909/2946/3562/files/4163953802.jpg?v=1757630581","3",,,,,,,,,,,,,,,,,,,,,,
"casa-vacanze-tromso-8-00-3-00-m",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0909/2946/3562/files/4163954796.jpg?v=1757630581","4",,,,,,,,,,,,,,,,,,,,,,
"casa-vacanze-tromso-8-00-3-00-m",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0909/2946/3562/files/4163950885.jpg?v=1757630582","5",,,,,,,,,,,,,,,,,,,,,,
"casa-vacanze-tromso-8-00-3-00-m",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0909/2946/3562/files/4163950890.jpg?v=1757630581","6",,,,,,,,,,,,,,,,,,,,,,
"casa-vacanze-tromso-8-00-3-00-m",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0909/2946/3562/files/4163953817.jpg?v=1757630583","7",,,,,,,,,,,,,,,,,,,,,,
"tiny-house-casa-vacanze-10-00-3-00-m","Tiny House / Casa Vacanze 10,00 × 3,00 m","<p data-start=""181"" data-end=""421""><strong data-start=""181"" data-end=""209"">Descrizione del prodotto</strong><br data-start=""209"" data-end=""212"">Proponiamo una <strong data-start=""227"" data-end=""272"">Tiny House chiavi in mano di alta qualità</strong> con dimensioni esterne di <strong data-start=""299"" data-end=""317"">10,90 × 2,90 m</strong>.<br data-start=""318"" data-end=""321"">Un’abitazione moderna e funzionale, pronta all’uso, ideale come casa vacanze o residenza compatta.</p> <hr data-start=""423"" data-end=""426""> <h3 data-start=""428"" data-end=""452"">Inclusi nel prezzo</h3> <ul data-start=""454"" data-end=""1864""> <li data-start=""454"" data-end=""572""> <p data-start=""456"" data-end=""572""><strong data-start=""456"" data-end=""475"">Pareti esterne:</strong> pannelli sandwich 150 mm in polistirolo (cartongesso interno, rivestimento esterno in lamiera)</p> </li> <li data-start=""573"" data-end=""696""> <p data-start=""575"" data-end=""696""><strong data-start=""575"" data-end=""599"">Tetto a falda unica:</strong> pannelli sandwich 150 mm in polistirolo (cartongesso interno, rivestimento esterno in lamiera)</p> </li> <li data-start=""697"" data-end=""808""> <p data-start=""699"" data-end=""808""><strong data-start=""699"" data-end=""718"">Pareti interne:</strong> pannelli sandwich 80 mm in polistirolo con finitura in cartongesso (bagno piastrellato)</p> </li> <li data-start=""809"" data-end=""869""> <p data-start=""811"" data-end=""869""><strong data-start=""811"" data-end=""825"">Struttura:</strong> in acciaio con trattamento anticorrosione</p> </li> <li data-start=""870"" data-end=""968""> <p data-start=""872"" data-end=""968""><strong data-start=""872"" data-end=""882"">Porte:</strong> 1 × porta singola in alluminio completamente vetrata 1,10 × 2,10 m (vetro oscurato)</p> </li> <li data-start=""969"" data-end=""1286""> <p data-start=""971"" data-end=""990""><strong data-start=""971"" data-end=""988"">Finestre PVC:</strong></p> <ul data-start=""993"" data-end=""1286""> <li data-start=""993"" data-end=""1047""> <p data-start=""995"" data-end=""1047"">1 × fissa inclinata 1,50 × 2,10 m (vetro oscurato)</p> </li> <li data-start=""1050"" data-end=""1094""> <p data-start=""1052"" data-end=""1094"">2 × fisse 1,30 × 2,10 m (vetro oscurato)</p> </li> <li data-start=""1097"" data-end=""1141""> <p data-start=""1099"" data-end=""1141"">1 × fissa 2,50 × 0,50 m (vetro oscurato)</p> </li> <li data-start=""1144"" data-end=""1195""> <p data-start=""1146"" data-end=""1195"">1 × anta/ribalta 0,80 × 2,10 m (vetro oscurato)</p> </li> <li data-start=""1198"" data-end=""1249""> <p data-start=""1200"" data-end=""1249"">1 × anta/ribalta 1,00 × 0,60 m (vetro oscurato)</p> </li> <li data-start=""1252"" data-end=""1286""> <p data-start=""1254"" data-end=""1286"">1 × anta/ribalta 0,60 × 0,60 m</p> </li> </ul> </li> <li data-start=""1287"" data-end=""1337""> <p data-start=""1289"" data-end=""1337""><strong data-start=""1289"" data-end=""1315"">Distribuzione interna:</strong> secondo planimetria</p> </li> <li data-start=""1338"" data-end=""1454""> <p data-start=""1340"" data-end=""1454""><strong data-start=""1340"" data-end=""1363"">Impianto elettrico:</strong> 4 lampade, 8 prese singole (230V), 2 radiatori elettrici, interruttori, quadro elettrico</p> </li> <li data-start=""1455"" data-end=""1537""> <p data-start=""1457"" data-end=""1537""><strong data-start=""1457"" data-end=""1480"">Impianto sanitario:</strong> WC, lavabo con mobiletto, doccia, scaldacqua elettrico</p> </li> <li data-start=""1538"" data-end=""1591""> <p data-start=""1540"" data-end=""1591""><strong data-start=""1540"" data-end=""1551"">Cucina:</strong> lavello, scaldacqua elettrico, mobili</p> </li> <li data-start=""1592"" data-end=""1704""> <p data-start=""1594"" data-end=""1704""><strong data-start=""1594"" data-end=""1608"">Pavimento:</strong> pannelli sandwich isolanti 100 mm in polistirolo, OSB 22 mm interno, rivestimento in laminato</p> </li> <li data-start=""1705"" data-end=""1735""> <p data-start=""1707"" data-end=""1735""><strong data-start=""1707"" data-end=""1733"">Lavorazioni in lamiera</strong></p> </li> <li data-start=""1736"" data-end=""1769""> <p data-start=""1738"" data-end=""1769""><strong data-start=""1738"" data-end=""1767"">Montaggio in loco incluso</strong></p> </li> <li data-start=""1770"" data-end=""1838""> <p data-start=""1772"" data-end=""1838""><strong data-start=""1772"" data-end=""1798"">Documentazione tecnica</strong> (pianta, prospetti, dettagli tecnici)</p> </li> <li data-start=""1839"" data-end=""1864""> <p data-start=""1841"" data-end=""1864""><strong data-start=""1841"" data-end=""1862"">Trasporto incluso</strong></p> </li> </ul>","LA MIA CASA MOBILE","Casa",,"2025-09-12T00:31:57+02:00","Title","Default Title",,,,,,"0",,"deny","manual","7800.00","13200.00","true","true",,"https://cdn.shopify.com/s/files/1/0909/2946/3562/files/4148136927.jpg?v=1757629856",,,"false",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0909/2946/3562/files/4148136927.jpg?v=1757629856",,,,"active"
"tiny-house-casa-vacanze-10-00-3-00-m",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0909/2946/3562/files/4148135907.jpg?v=1757629856","2",,,,,,,,,,,,,,,,,,,,,,
"tiny-house-casa-vacanze-10-00-3-00-m",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0909/2946/3562/files/4148131974.jpg?v=1757629856","3",,,,,,,,,,,,,,,,,,,,,,
