handle,title,price,url,short_description,technical_data
casa-movil-2-dormitorios-con-2-banos,"Casa Mobile 2 Camere da Letto con 2 Bagni – Louisiana Sunshine Taos F5",9700.00,https://www.micasamobile.it/products/casa-movil-2-dormitorios-con-2-banos,"La Casa Mobile Louisiana Sunshine Taos F5 è un modello spazioso, moderno e accogliente, perfetto per famiglie fino a 6 persone.","Superficie abitabile: 40 m²; Larghezza: 4,3 m; Lunghezza: 10,1 m"
casa-movil-40-m2-dormitorio-2,"Casa Mobile 40 m² – 2 Camere da Letto e 2 Bagni",9000.00,https://www.micasamobile.it/products/casa-movil-40-m2-dormitorio-2,"Spaziosa e confortevole, la Casa Mobile 40 m² è pensata per ospitare fino a 6 persone.","Superficie: 40 m²; Dimensioni: 10,10 × 4,30 m; Tetto: doppia falda"
casa-movil-42-m-de-3-dormitorios,"Casa Mobile 42 m² con 3 Camere da Letto – Modello A",6700.00,https://www.micasamobile.it/products/casa-movil-42-m-de-3-dormitorios,"Modello A: casa mobile 42 m² con 3 camere da letto, design funzionale.",""
casa-movil-atlas-everglade,"Casa Mobile Atlas Everglade – 2 Camere da Letto (27,6 m²)",6000.00,https://www.micasamobile.it/products/casa-movil-atlas-everglade,"Atlas Everglade: compatta, ideale per coppie o piccoli nuclei familiari.",""
casa-movil-chalet-cady-77-m2,"Casa Mobile Chalet Cady – 77 m² (Anno 2024)",10000.00,https://www.micasamobile.it/products/casa-movil-chalet-cady-77-m2,"Chalet Cady 77 m², modello 2024, ampi spazi e finiture di qualità.",""
casa-movil-charleston-de-2-habitaciones,"Casa Mobile Charleston – 2 Camere da Letto (49,4 m²)",14000.00,https://www.micasamobile.it/products/casa-movil-charleston-de-2-habitaciones,"Charleston 49,4 m²: due camere, finiture moderne.",""
casa-movil-de-lujo-tipo-tiny-house,"Casa Mobile di Lusso Tipo Tiny House – 35 m²",9500.00,https://www.micasamobile.it/products/casa-movil-de-lujo-tipo-tiny-house,"Tiny House di lusso 35 m²: soluzione compatta e di design.",""
casa-movil-estrella-de-2-dormitorios,"Casa Mobile Estrella – 2 Camere da Letto",11700.00,https://www.micasamobile.it/products/casa-movil-estrella-de-2-dormitorios,"Estrella: modello con due camere e finiture curate.",""
casa-movil-louisiane-3-dormitorios,"Casa Mobile Louisiane – 3 Camere da Letto",5000.00,https://www.micasamobile.it/products/casa-movil-louisiane-3-dormitorios,"Louisiane: economica e funzionale, 3 camere.",""
casa-movil-luca-2-dormitorios,"Casa Mobile Luca – 2 Camere da Letto (Trigano Elya 35.2)",11500.00,https://www.micasamobile.it/products/casa-movil-luca-2-dormitorios,"Luca 2 camere, modello Trigano Elya 35.2.",""
